feature,importance,selected,category
hvol_20,610,True,volatility
price_sma200_ratio,600,True,overlap
macd_signal,559,True,momentum
hvol_10,558,True,volatility
ad_line,491,True,volume
aroon_osc,484,True,momentum
bb_width,467,True,overlap
obv,441,True,volume
pvt,415,True,volume
adx_14,392,True,momentum
macd_hist,386,True,momentum
atr_14,372,True,volatility
price_sma50_ratio,355,True,overlap
cmo_14,299,True,momentum
macd,299,True,momentum
tr_norm,262,True,volatility
rsi_14,251,True,momentum
roc_10,248,True,momentum
vol_ratio,244,True,volume
price_sma5_ratio,228,True,overlap
mom_10,224,True,momentum
ret_5d,223,True,price_transform
willr_14,222,True,momentum
lower_shadow,219,True,price_transform
gap,215,True,price_transform
bb_pct,211,False,overlap
sma_50,206,False,overlap
body_ratio,199,False,price_transform
force_idx,195,False,volume
ret_3d,189,False,price_transform
upper_shadow,184,False,price_transform
stoch_rsi,155,False,momentum
price_sma20_ratio,147,False,overlap
sma_5,137,False,overlap
sma_20,129,False,overlap
sma_10,125,False,overlap
ret_1d,116,False,price_transform
ema_26,102,False,overlap
ret_10d,72,False,price_transform
dema_12,67,False,overlap
wma_10,63,False,overlap
ema_12,63,False,overlap
